detalle_click_ref;categoria_tarjeta;grupo;marca_o_linea;tipo_detalle;origen_dato;filtro_orbit_recomendado;observaciones
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;NC Lata;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'NC Lata';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Don David Red Blend;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Don David Red Blend';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Blend de Extremos Pinot Noir;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Blend de Extremos Pinot Noir';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Dadá Extra Brut;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Dadá Extra Brut';Lista cerrada del PPTX julio.
CAT_INNOVACIONES_JULIO_2026;Innovaciones;Innovaciones julio 2026;Espumante Medalla;PRODUCTO_EXPLICITO;pptx_julio_2026;descripcion/marca coincide con 'Espumante Medalla';Lista cerrada del PPTX julio.
CAT_ESPUMANTES_PLANES_AASS;Espumantes;Espumantes Planes/Volumen;Suter;MARCA_EXPLICITA;pptx_julio_2026;marca = 'Suter' AND categoria = 'ESPUMANTES';Aplica en Planes AASS y Petit Mayoristas según regla.
CAT_ESPUMANTES_PLANES_AASS;Espumantes;Espumantes Planes/Volumen;San Telmo;MARCA_EXPLICITA;pptx_julio_2026;marca = 'San Telmo' AND categoria = 'ESPUMANTES';Aplica en Planes AASS y Petit Mayoristas según regla.
CAT_ESPUMANTES_PLANES_AASS;Espumantes;Espumantes Planes/Volumen;Dadá;MARCA_EXPLICITA;pptx_julio_2026;marca = 'Dadá' AND categoria = 'ESPUMANTES';Aplica en Planes AASS y Petit Mayoristas según regla.
CAT_PLANES_AASS_EXCLUSIONES;Planes AASS - Exclusiones;Sin descuento en Planes AS;Vinos de Mesa;EXCLUSION;pptx_julio_2026;excluir si segmento/categoria coincide con 'Vinos de Mesa';No aplicar descuento de planes AASS.
CAT_PLANES_AASS_EXCLUSIONES;Planes AASS - Exclusiones;Sin descuento en Planes AS;Masivos;EXCLUSION;pptx_julio_2026;excluir si segmento/categoria coincide con 'Masivos';No aplicar descuento de planes AASS.
CAT_PLANES_AASS_EXCLUSIONES;Planes AASS - Exclusiones;Sin descuento en Planes AS;Ultra Premium (Vinos);EXCLUSION;pptx_julio_2026;excluir si segmento/categoria coincide con 'Ultra Premium (Vinos)';No aplicar descuento de planes AASS.
CAT_PLANES_AASS_EXCLUSIONES;Planes AASS - Exclusiones;Sin descuento en Planes AS;Super Premium (Spirits);EXCLUSION;pptx_julio_2026;excluir si segmento/categoria coincide con 'Super Premium (Spirits)';No aplicar descuento de planes AASS.
CAT_PLANES_AASS_EXCLUSIONES;Planes AASS - Exclusiones;Sin descuento en Planes AS;Premium (Spirits);EXCLUSION;pptx_julio_2026;excluir si segmento/categoria coincide con 'Premium (Spirits)';No aplicar descuento de planes AASS.
CAT_PLANES_AASS_EXCLUSIONES;Planes AASS - Exclusiones;Sin descuento en Planes AS;Standard solo JW Red;EXCLUSION;pptx_julio_2026;excluir si segmento/categoria coincide con 'Standard solo JW Red';No aplicar descuento de planes AASS.
CAT_MIX_ARBOLES_TRAPICHE;Caja mixta VDA - Los Árboles + Trapiche;Caja mixta 3+3 (20%);Los Árboles;MARCA_EXPLICITA;nota_gerencia_julio_2026;marca = 'Los Arboles' AND categoria = 'VDA';3 botellas de Los Árboles en la caja mixta al 20%.
CAT_MIX_ARBOLES_TRAPICHE;Caja mixta VDA - Los Árboles + Trapiche;Caja mixta 3+3 (20%);Trapiche Reserva;MARCA_EXPLICITA;nota_gerencia_julio_2026;marca = 'Trapiche Reserva' AND categoria = 'VDA';3 botellas de Trapiche Reserva en la caja mixta al 20%.
CAT_MIX_SMIRNOFF_GORDONS;Caja mixta Spirits - Smirnoff + Gordon's;Caja mixta 3+3 (15%);Smirnoff;FAMILIA;nota_gerencia_julio_2026;familia Smirnoff AND categoria SPIRITS (excluye Ice/RTD);3 botellas de Smirnoff en la caja mixta al 15%.
CAT_MIX_SMIRNOFF_GORDONS;Caja mixta Spirits - Smirnoff + Gordon's;Caja mixta 3+3 (15%);Gordon's;FAMILIA;nota_gerencia_julio_2026;familia Gordons AND categoria SPIRITS;3 botellas de Gordons en la caja mixta al 15%.
